PartitionKey,RowKey,Timestamp,CreationDate,CreationDate@type,PolicyHolderId,PolicyHolderId@type,PolicyId,PolicyId@type
f83f579c2a9846eaac65c546c706cd67,2f4b60ae4665b838,2017-07-06T09:29:39.106Z,2017-07-06T09:29:39.046Z,Edm.DateTime,2f4b60ae4665b838,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,32dbfda7ba457482,2017-06-05T16:04:03.324Z,2017-06-05T16:04:03.957Z,Edm.DateTime,32dbfda7ba457482,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,330eba0a1ab7188c,2017-07-22T11:06:06.369Z,2017-07-22T11:06:07.082Z,Edm.DateTime,330eba0a1ab7188c,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,3335cff9db8e3647,2017-07-11T13:08:57.913Z,2017-07-11T13:08:57.102Z,Edm.DateTime,3335cff9db8e3647,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,353ea16f197dbb92,2017-07-21T14:53:52.599Z,2017-07-21T14:53:52.252Z,Edm.DateTime,353ea16f197dbb92,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,383780d5d8f1b277,2017-03-17T10:54:23.223Z,2017-03-17T10:54:23.443Z,Edm.DateTime,383780d5d8f1b277,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,38b8e9d08b75634f,2017-07-15T02:06:31.176Z,2017-07-15T02:06:31.295Z,Edm.DateTime,38b8e9d08b75634f,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,3931eeaa14df757e,2017-06-21T19:27:28.363Z,2017-06-21T19:27:27.897Z,Edm.DateTime,3931eeaa14df757e,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,3a29a4ea24a7716b,2018-03-29T08:04:52.007Z,2018-03-29T08:04:51.820Z,Edm.DateTime,3a29a4ea24a7716b,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,3b049300c3dc4b4a,2017-08-18T09:10:42.112Z,2017-08-18T09:10:42.361Z,Edm.DateTime,3b049300c3dc4b4a,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,3bb9d56d2ceaedc9,2018-04-09T08:25:33.268Z,2018-04-09T08:25:33.175Z,Edm.DateTime,3bb9d56d2ceaedc9,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,3bdbcc71c96ca3a2,2018-03-29T09:05:26.370Z,2018-03-29T09:05:26.318Z,Edm.DateTime,3bdbcc71c96ca3a2,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,3de04dd28eab508,2017-01-18T18:52:10.351Z,2017-01-18T18:52:09.655Z,Edm.DateTime,3de04dd28eab508,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,40541e01659315fc,2016-12-25T17:09:57.474Z,2016-12-25T17:09:58.160Z,Edm.DateTime,40541e01659315fc,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,433901eca14e6f1a,2017-06-25T17:11:53.277Z,2017-06-25T17:11:52.639Z,Edm.DateTime,433901eca14e6f1a,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,4457b16cade3e887,2017-07-12T04:19:25.451Z,2017-07-12T04:19:24.583Z,Edm.DateTime,4457b16cade3e887,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,44af7931c006c674,2017-06-13T13:55:05.869Z,2017-06-13T13:55:05.995Z,Edm.DateTime,44af7931c006c674,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,44e31d1a80c9b69a,2017-03-19T12:09:18.792Z,2017-03-19T12:09:18.370Z,Edm.DateTime,44e31d1a80c9b69a,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,451d77ea0af68f48,2017-06-06T10:54:38.423Z,2017-06-06T10:54:38.514Z,Edm.DateTime,451d77ea0af68f48,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,474d8ec39f8fe42d,2017-06-22T09:13:55.054Z,2017-06-22T09:13:54.791Z,Edm.DateTime,474d8ec39f8fe42d,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,47b743d35f9f5f56,2017-01-08T10:24:14.962Z,2017-01-08T10:24:16.178Z,Edm.DateTime,47b743d35f9f5f56,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
f83f579c2a9846eaac65c546c706cd67,47d5f56a55da8181,2017-01-05T19:09:09.871Z,2017-01-05T19:09:10.307Z,Edm.DateTime,47d5f56a55da8181,Edm.String,f83f579c2a9846eaac65c546c706cd67,Edm.String
