PartitionKey,RowKey,Timestamp,RequestId,RequestId@type,BatchId,BatchId@type,ContentList,ContentList@type,BatchStatus,BatchStatus@type,CreationDate,CreationDate@type,LastUpdate,LastUpdate@type
16d2ba28586e5936_f83f579c2a9846eaac65c546c706cd67|02312845-ff15-459d-91b6-a3e98596d38e,f699dd15-af9d-4343-8972-cd5c48e97afd,2016-09-13T07:11:00.495Z,02312845-ff15-459d-91b6-a3e98596d38e,Edm.String,f699dd15-af9d-4343-8972-cd5c48e97afd,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2016-09-13T07:10:54.876Z,Edm.DateTime,2016-09-13T07:10:54.876Z,Edm.DateTime
16d2ba28586e5936_f83f579c2a9846eaac65c546c706cd67|095bfabf-9933-44b2-9018-53086380d903,08956ca7-8dfc-4c8f-9d09-d2928cad0cf9,2016-08-16T11:51:30.092Z,095bfabf-9933-44b2-9018-53086380d903,Edm.String,08956ca7-8dfc-4c8f-9d09-d2928cad0cf9,Edm.String,UserNames|Advert1;UserNames|Advert2;UserNames|Advert3;UserNames|Advert4;UserNames|Advert5;UserNames|Advert6;,Edm.String,5,Edm.String,2016-08-16T11:48:30.975Z,Edm.DateTime,2016-08-16T11:48:30.975Z,Edm.DateTime
16d2ba28586e5936_f83f579c2a9846eaac65c546c706cd67|1fb1063c-773f-490c-93f2-21447d21491e,815bdac8-671d-42db-83e5-c4e10b49a9f8,2016-08-16T12:22:35.731Z,1fb1063c-773f-490c-93f2-21447d21491e,Edm.String,815bdac8-671d-42db-83e5-c4e10b49a9f8,Edm.String,UserNames|Advert1;UserNames|Advert2;UserNames|Advert3;UserNames|Advert4;UserNames|Advert5;UserNames|Advert6;,Edm.String,5,Edm.String,2016-08-16T12:22:15.920Z,Edm.DateTime,2016-08-16T12:22:15.920Z,Edm.DateTime
16d2ba28586e5936_f83f579c2a9846eaac65c546c706cd67|2777cae9-2c81-4c34-b1a7-755ae58138b9,ed5a1ece-3743-4a1b-bd0b-0e3dcc0ee2ea,2016-08-16T11:52:05.809Z,2777cae9-2c81-4c34-b1a7-755ae58138b9,Edm.String,ed5a1ece-3743-4a1b-bd0b-0e3dcc0ee2ea,Edm.String,UserNames|Advert1;UserNames|Advert2;UserNames|Advert3;UserNames|Advert4;UserNames|Advert5;UserNames|Advert6;,Edm.String,5,Edm.String,2016-08-16T11:51:27.389Z,Edm.DateTime,2016-08-16T11:51:27.389Z,Edm.DateTime
16d2ba28586e5936_f83f579c2a9846eaac65c546c706cd67|4e2883cd-638c-4c0a-98ea-8a9f800c9e3a,c107d739-caed-414e-843a-5891c76b1746,2016-08-16T11:48:16.300Z,4e2883cd-638c-4c0a-98ea-8a9f800c9e3a,Edm.String,c107d739-caed-414e-843a-5891c76b1746,Edm.String,UserNames|Advert1;UserNames|Advert2;UserNames|Advert3;UserNames|Advert4;UserNames|Advert5;UserNames|Advert6;,Edm.String,4,Edm.String,2016-08-16T11:48:10.549Z,Edm.DateTime,2016-08-16T11:48:10.549Z,Edm.DateTime
16f7398e3a00c450_f83f579c2a9846eaac65c546c706cd67|03570c8a-30a7-44cd-b7d1-830279b4fd2a,b4844552-df6c-4619-abdb-1f0471194ec7,2016-08-11T13:02:48.119Z,03570c8a-30a7-44cd-b7d1-830279b4fd2a,Edm.String,b4844552-df6c-4619-abdb-1f0471194ec7,Edm.String,UserNames|Advert1;UserNames|Advert2;UserNames|Advert3;UserNames|Advert4;UserNames|Advert5;,Edm.String,5,Edm.String,2016-08-11T13:02:30.701Z,Edm.DateTime,2016-08-11T13:02:30.701Z,Edm.DateTime
16f7398e3a00c450_f83f579c2a9846eaac65c546c706cd67|1d7d2574-1fe2-4e04-a8d6-03aa218ea835,20146510-50a9-430b-9641-a38fe30d0ae0,2017-04-23T14:09:16.539Z,1d7d2574-1fe2-4e04-a8d6-03aa218ea835,Edm.String,20146510-50a9-430b-9641-a38fe30d0ae0,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2017-04-23T14:09:10.361Z,Edm.DateTime,2017-04-23T14:09:10.361Z,Edm.DateTime
17cab5423177c2cd_f83f579c2a9846eaac65c546c706cd67|18d9a644-b2c3-4824-a8d8-4ef9cb940dcc,7a8dbb4c-dd8e-4c06-8e7f-e690819152bf,2017-03-21T18:56:05.422Z,18d9a644-b2c3-4824-a8d8-4ef9cb940dcc,Edm.String,7a8dbb4c-dd8e-4c06-8e7f-e690819152bf,Edm.String,UserNames|Advert1;,Edm.String,5,Edm.String,2017-03-21T18:55:58.129Z,Edm.DateTime,2017-03-21T18:55:58.129Z,Edm.DateTime
18960a071c4853b2_f83f579c2a9846eaac65c546c706cd67|43ec50ff-d81a-48ea-80db-b2179ec7f260,eba1bceb-8679-4076-9d2d-73641cafa180,2017-06-29T17:43:15.272Z,43ec50ff-d81a-48ea-80db-b2179ec7f260,Edm.String,eba1bceb-8679-4076-9d2d-73641cafa180,Edm.String,UserNames|Advert1;,Edm.String,2,Edm.String,2017-06-29T17:43:15.623Z,Edm.DateTime,2017-06-29T17:43:15.623Z,Edm.DateTime
18960a071c4853b2_f83f579c2a9846eaac65c546c706cd67|6ebfe6b3-5e7c-43bb-b239-de63a73c4205,602d9be6-d50d-44fc-97aa-10fec8954db8,2017-06-29T17:43:22.187Z,6ebfe6b3-5e7c-43bb-b239-de63a73c4205,Edm.String,602d9be6-d50d-44fc-97aa-10fec8954db8,Edm.String,UserNames|Advert1;,Edm.String,2,Edm.String,2017-06-29T17:43:21.709Z,Edm.DateTime,2017-06-29T17:43:21.709Z,Edm.DateTime
