PartitionKey,RowKey,Timestamp,ContentId,ContentId@type,Content_ActionURL,Content_ActionURL@type,Content_B64URL,Content_B64URL@type,Content_RawURL,Content_RawURL@type,CreationDate,CreationDate@type,LastUpdate,LastUpdate@type
2be421acd53da929_f83f579c2a9846eaac65c546c706cd67|c6e2f45e-c6bf-4f9c-8ac3-3c2145353a4d,UserNames|Advert1,2017-07-13T14:07:00.011Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-13T14:07:00.109Z,Edm.DateTime,2017-07-13T14:07:00.109Z,Edm.DateTime
2be421acd53da929_f83f579c2a9846eaac65c546c706cd67|cb0a4dce-1738-4abd-9b1d-0a38855a2c77,UserNames|Advert1,2017-07-12T16:48:25.216Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-12T16:48:24.478Z,Edm.DateTime,2017-07-12T16:48:24.478Z,Edm.DateTime
2be421acd53da929_f83f579c2a9846eaac65c546c706cd67|ce330f62-81a6-4ebd-a9f1-d0af299dac82,UserNames|Advert1,2017-07-14T14:02:25.494Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-14T14:02:24.893Z,Edm.DateTime,2017-07-14T14:02:24.893Z,Edm.DateTime
2be421acd53da929_f83f579c2a9846eaac65c546c706cd67|d0f799f1-a5c9-4569-b61a-61261c720fcd,UserNames|Advert1,2017-07-13T05:52:46.323Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-13T05:52:46.156Z,Edm.DateTime,2017-07-13T05:52:46.171Z,Edm.DateTime
2be421acd53da929_f83f579c2a9846eaac65c546c706cd67|d37bce46-3b1b-4cfa-afee-d4119b762ff1,UserNames|Advert1,2017-07-12T17:21:47.965Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-12T17:21:47.741Z,Edm.DateTime,2017-07-12T17:21:47.741Z,Edm.DateTime
2be421acd53da929_f83f579c2a9846eaac65c546c706cd67|dc3db07f-6543-4163-a4cc-97896bfd8662,UserNames|Advert1,2017-07-17T10:03:06.351Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-17T10:03:05.885Z,Edm.DateTime,2017-07-17T10:03:05.885Z,Edm.DateTime
2be421acd53da929_f83f579c2a9846eaac65c546c706cd67|e0eb682c-d465-4514-8190-d4487a513cd1,UserNames|Advert1,2017-07-13T09:29:48.885Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-13T09:29:48.939Z,Edm.DateTime,2017-07-13T09:29:48.939Z,Edm.DateTime
2be421acd53da929_f83f579c2a9846eaac65c546c706cd67|e7810d81-27c5-4be8-bc6e-725c7828e6af,UserNames|Advert1,2017-07-12T16:50:03.797Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-12T16:50:03.198Z,Edm.DateTime,2017-07-12T16:50:03.198Z,Edm.DateTime
2be421acd53da929_f83f579c2a9846eaac65c546c706cd67|eb253023-26ad-4488-82ec-c6cea34f43ea,UserNames|Advert1,2017-07-14T05:45:15.697Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-14T05:45:16.212Z,Edm.DateTime,2017-07-14T05:45:16.212Z,Edm.DateTime
2be421acd53da929_f83f579c2a9846eaac65c546c706cd67|ee2be3a4-e332-4c26-b169-85bc2914d414,UserNames|Advert1,2017-07-12T17:02:00.127Z,UserNames|Advert1,Edm.String,GOOGLE_MOBIHUNTER,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,https://adservapi.blob.core.windows.net/usernames1images/GOOGLE_MOBIHUNTER.txt,Edm.String,2017-07-12T17:01:59.734Z,Edm.DateTime,2017-07-12T17:01:59.734Z,Edm.DateTime
